"fixloc" "fixdur" "fixnr" "id"
1 319 1 "10_87"
2 418 2 "10_87"
1 1176 3 "10_87"
2 120 4 "10_87"
1 299 1 "10_88"
2 240 2 "10_88"
1 379 1 "10_89"
2 358 2 "10_89"
1 418 3 "10_89"
2 120 4 "10_89"
1 237 1 "10_90"
2 418 2 "10_90"
1 81 3 "10_90"
1 359 1 "10_91"
2 737 2 "10_91"
1 837 3 "10_91"
2 99 4 "10_91"
1 339 1 "10_92"
2 319 2 "10_92"
1 219 1 "10_93"
2 343 2 "10_93"
1 521 3 "10_93"
2 439 4 "10_93"
1 240 1 "10_94"
2 239 2 "10_94"
1 161 3 "10_94"
1 179 1 "10_95"
2 219 2 "10_95"
1 160 3 "10_95"
1 239 1 "10_96"
2 1594 2 "10_96"
2 156 1 "10_97"
1 458 2 "10_97"
2 60 3 "10_97"
1 160 1 "10_98"
2 359 2 "10_98"
1 20 3 "10_98"
1 179 1 "10_99"
2 378 2 "10_99"
1 81 3 "10_99"
1 258 1 "10_100"
2 438 2 "10_100"
1 20 3 "10_100"
1 338 1 "11_1"
2 440 2 "11_1"
1 319 3 "11_1"
2 380 4 "11_1"
2 242 1 "11_2"
1 339 2 "11_2"
2 522 3 "11_2"
1 159 4 "11_2"
1 476 1 "11_3"
2 1373 2 "11_3"
1 225 1 "11_4"
2 881 2 "11_4"
1 135 3 "11_4"
2 239 4 "11_4"
1 962 5 "11_4"
2 1462 6 "11_4"
1 230 7 "11_4"
1 696 1 "11_5"
2 998 2 "11_5"
1 137 3 "11_5"
2 625 4 "11_5"
1 212 5 "11_5"
2 460 1 "11_6"
1 618 2 "11_6"
2 1057 3 "11_6"
1 1307 4 "11_6"
2 444 5 "11_6"
1 20 6 "11_6"
1 511 1 "11_7"
2 700 2 "11_7"
1 455 3 "11_7"
2 442 4 "11_7"
1 77 5 "11_7"
1 535 1 "11_8"
2 940 2 "11_8"
1 515 1 "11_9"
2 553 2 "11_9"
1 1551 3 "11_9"
2 163 4 "11_9"
1 60 5 "11_9"
2 159 1 "11_10"
1 878 2 "11_10"
2 282 1 "11_11"
1 649 2 "11_11"
2 660 3 "11_11"
1 219 1 "11_12"
2 283 2 "11_12"
1 1035 3 "11_12"
1 579 1 "11_13"
2 875 2 "11_13"
1 358 1 "11_14"
2 837 2 "11_14"
1 840 3 "11_14"
2 476 4 "11_14"
1 218 1 "11_15"
