"id" "v1" "v2" "decision" "rt"
"13_28" 3 0 2 8131
"13_29" 1 5 1 2551
"13_30" 0 0 1 8052
"13_31" 3 1 2 4546
"13_32" 2 1 1 4963
"13_33" 4 4 1 14572
"13_34" 1 4 2 4921
"13_35" 1 2 1 10450
"13_36" 0 0 2 4522
"13_37" 2 0 2 6756
"13_38" 4 3 2 9303
"13_39" 2 2 1 4801
"13_40" 2 0 2 2672
"13_41" 0 1 2 2012
"13_42" 6 2 2 4368
"13_43" 4 1 2 5259
"13_44" 2 2 1 2830
"13_45" 3 2 2 3328
"13_46" 1 0 2 4248
"13_47" 2 2 1 8892
"13_48" 1 3 1 1406
"13_49" 1 2 1 3905
"13_50" 5 3 2 10134
"13_51" 0 1 1 5238
"13_52" 2 4 1 1337
"13_53" 2 1 1 2231
"13_54" 2 5 1 1855
"13_55" 1 1 1 1932
"13_56" 2 2 1 5145
"13_57" 5 4 2 10903
"13_58" 1 0 2 1691
"13_59" 2 3 2 1915
"13_60" 4 0 2 1673
"13_61" 1 3 1 8711
"13_62" 0 0 2 677
"13_63" 3 2 2 6388
"13_64" 2 0 2 1845
"13_65" 4 2 2 7540
"13_66" 2 0 1 1696
"13_67" 4 5 1 9429
"13_68" 2 0 2 2172
"13_69" 0 4 1 1078
"13_70" 0 3 1 1357
"13_71" 3 0 2 1658
"13_72" 2 0 1 1793
"13_73" 2 4 1 1301
"13_74" 1 3 1 1893
"13_75" 2 1 2 2215
"13_76" 5 6 2 3369
"13_77" 2 0 2 3388
"13_78" 1 1 2 3590
"13_79" 0 2 2 1414
"13_80" 1 4 1 782
"13_81" 2 1 2 1995
"13_82" 4 0 1 4780
"13_83" 5 0 2 1137
"13_84" 2 3 1 8199
"13_85" 0 1 2 1915
"13_86" 4 2 2 1794
"13_87" 3 2 2 3307
"13_88" 1 0 2 1536
"13_89" 1 0 2 6917
"13_90" 5 1 2 2630
"13_91" 0 1 1 1476
"13_92" 4 3 2 1952
"13_93" 2 3 1 1795
"13_94" 2 0 2 1434
"13_95" 2 1 2 1413
"13_96" 5 6 1 1276
"13_97" 0 4 1 2077
"13_98" 2 1 2 5023
"13_99" 3 0 2 1796
"13_100" 0 2 2 1772
"14_1" 2 0 2 1136
"14_2" 2 4 1 1634
"14_3" 1 5 2 1042
"14_4" 5 1 2 557
"14_5" 6 2 2 1059
"14_6" 4 2 2 440
"14_7" 2 4 1 1137
"14_8" 0 1 2 2474
"14_9" 0 2 2 1513
"14_10" 2 0 2 3603
"14_11" 4 5 1 1296
"14_13" 0 4 1 1335
"14_14" 0 5 1 877
"14_15" 2 3 1 472
"14_16" 2 4 1 1039
"14_17" 2 6 1 977
"14_18" 5 3 2 1201
"14_19" 3 2 1 458
"14_20" 1 1 1 1815
"14_21" 2 0 2 1692
"14_22" 3 4 2 1913
"14_23" 3 2 2 1016
"14_24" 6 6 1 816
"14_25" 1 0 1 1696
"14_26" 1 3 1 1316
"14_27" 1 3 2 1337
"14_28" 1 0 2 1555
"14_29" 5 3 2 1256
"14_30" 0 2 2 637
"14_31" 1 3 1 1574
"14_32" 2 4 1 757
"14_33" 3 3 2 1653
"14_34" 3 0 2 1575
"14_35" 3 1 2 1755
"14_36" 5 2 2 1773
"14_37" 1 4 2 1396
"14_38" 4 5 1 1355
"14_39" 2 1 1 1017
"14_40" 0 4 1 1774
"14_41" 0 2 1 617
"14_42" 4 1 1 758
"14_43" 5 0 2 539
"14_44" 5 2 2 541
"14_45" 3 0 2 778
"14_46" 1 5 1 578
"14_47" 0 0 2 1194
"14_48" 0 3 1 636
"14_49" 2 1 2 1853
"14_50" 2 0 2 698
"14_51" 0 1 1 738
"14_52" 5 0 2 1910
"14_53" 1 3 1 1297
"14_54" 0 4 2 1854
"14_55" 0 0 1 354
"14_58" 1 3 1 835
"14_59" 2 3 1 579
"14_61" 2 4 1 636
"14_62" 3 2 1 1198
"14_63" 3 0 1 1295
"14_64" 3 3 2 1175
"14_65" 0 1 1 659
"14_66" 4 0 2 1176
"14_67" 3 5 1 516
"14_68" 3 4 2 1432
"14_69" 3 3 2 1177
"14_70" 1 4 2 1294
"14_71" 3 2 2 1235
"14_72" 0 3 2 419
"14_73" 0 1 2 853
"14_74" 1 5 1 280
"14_75" 4 3 1 936
"14_76" 5 2 1 995
"14_77" 0 2 2 899
"14_82" 5 3 2 712
"14_83" 3 1 2 896
"14_84" 0 0 1 940
"14_85" 1 2 2 1709
"14_87" 2 0 2 518
"14_88" 4 3 1 1233
"14_90" 2 2 2 1735
"14_91" 5 3 2 638
"14_92" 2 0 1 1177
"14_93" 3 8 2 198
"14_94" 0 4 1 1754
"14_96" 1 2 1 1796
"14_98" 2 5 1 557
"14_99" 3 2 1 503
"14_100" 3 0 1 1455
"16_1" 5 5 1 935
"16_2" 7 8 1 738
"16_3" 5 2 2 878
"16_4" 0 2 1 1427
"16_5" 2 6 2 2146
"16_6" 5 2 1 2531
"16_7" 6 5 1 1195
"16_8" 5 6 1 2046
"16_9" 3 6 1 1119
"16_10" 5 6 1 3323
"16_11" 8 6 1 1475
"16_12" 10 6 2 899
"16_13" 3 8 1 858
"16_14" 9 10 1 533
"16_15" 8 4 1 937
"16_16" 6 3 2 725
"16_17" 9 9 2 1495
"16_18" 3 5 1 4362
"16_19" 5 10 1 380
"16_20" 5 2 2 5498
"16_21" 5 10 1 354
"16_22" 9 6 2 877
"16_23" 5 8 1 718
"16_24" 9 7 1 1016
"16_25" 5 8 1 1035
"16_26" 6 3 2 1134
"16_27" 10 9 2 470
"16_28" 6 3 2 1312
"16_29" 10 6 2 419
"16_30" 6 8 1 373
"16_31" 2 7 1 1196
"16_32" 2 3 2 998
"16_33" 2 4 1 693
"16_34" 6 9 1 1874
"16_35" 6 8 1 1059
"16_36" 5 5 2 2012
"16_37" 4 5 2 768
"16_38" 3 2 2 1037
"16_39" 2 6 2 1349
"16_40" 3 6 1 2270
"16_41" 6 7 2 2150
"16_42" 5 5 1 2592
"16_43" 2 2 2 2709
"16_44" 10 7 2 1248
"16_45" 9 8 2 1296
"16_46" 5 6 1 2055
"16_47" 9 6 2 4798
"16_48" 6 5 2 980
"16_49" 7 2 2 629
"16_50" 6 2 1 990
"16_51" 6 10 1 572
"16_52" 5 3 1 898
"16_53" 6 6 2 677
"16_54" 8 8 1 1834
"16_55" 6 9 1 1195
"16_56" 8 5 2 897
"16_57" 7 9 1 2773
"16_58" 3 7 1 1009
"16_59" 2 5 1 994
"16_60" 9 8 2 835
"16_61" 2 6 1 1911
"16_62" 9 6 1 1054
"16_63" 5 5 1 658
"16_64" 6 9 1 1434
"16_65" 5 0 2 838
"16_66" 6 7 1 1275
"16_67" 5 9 1 857
"16_68" 8 10 1 1156
"16_69" 7 10 1 1016
"16_70" 7 6 1 1312
"16_71" 5 8 1 3466
"16_72" 0 2 1 931
"16_73" 8 4 2 897
"16_74" 9 6 2 889
"16_75" 5 0 2 1655
"16_76" 8 10 1 717
"16_77" 2 2 1 1714
"16_78" 3 6 1 2111
"16_79" 6 5 2 1635
"16_80" 5 10 1 632
"16_81" 6 10 1 957
"16_82" 6 10 1 5041
"16_83" 6 10 1 977
